1,Who was the most interesting person I interacted with today?
2,What was the best part of my day?
3,How did I see the hand of the Lord in my life today?
4,What was the strongest emotion I felt today?
5,If I had one thing I could do over today what would it be?
6,What did I learn about myself today?
7,When did I feel the most peace today and why?
8,Who did I help today and how did it affect me?
9,What moment today tested my patience or faith?
10,What am I most grateful for right now?
11,Where did I see beauty or goodness around me today?
12,What decision today brought me closer to my goals or values?
13,How did I show love or kindness today?
14,What do I want to remember about today a year from now?
15,What did I pray for and how was that prayer answeredâ€”or still waiting?